time [yr], extraction rate [kg/s]
1980.1250,   0.0048
1980.3750,   0.0056
1980.6250,   0.0063
1980.8750,   0.0082
1981.1250,   0.0105
1981.3750,   0.0128
1981.6250,   0.0172
1981.8750,   0.0204
1982.1250,   0.0250
1982.3750,   0.0381
1982.6250,   0.0457
1982.8750,   0.0610
1983.1250,   0.0825
1983.3750,   0.1081
1983.6250,   0.1400
1983.8750,   0.1526
1984.1250,   0.2021
1984.3750,   0.2446
1984.6250,   0.3235
1984.8750,   0.4291
1985.1250,   0.4879
1985.3750,   0.6471
1985.6250,   0.8344
1985.8750,   0.9046
1986.1250,   1.0338
1986.3750,   1.0822
1986.6250,   1.3724
1986.8750,   1.5319
1987.1250,   1.7758
1987.3750,   1.8933
1987.6250,   2.1783
1987.8750,   2.2173
1988.1250,   2.3518
1988.3750,   2.2012
1988.6250,   2.2536
1988.8750,   2.6732
1989.1250,   2.5477
1989.3750,   2.3397
1989.6250,   2.4411
1989.8750,   2.7088
1990.1250,   2.4349
1990.3750,   2.7116
1990.6250,   2.6664
1990.8750,   2.7187
1991.1250,   2.6138
1991.3750,   2.5761
1991.6250,   2.7357
1991.8750,   2.5624
1992.1250,   2.7193
1992.3750,   2.5845
1992.6250,   2.5276
1992.8750,   2.7034
1993.1250,   2.9651
1993.3750,   2.8440
1993.6250,   3.2619
1993.8750,   3.2117
1994.1250,   3.4017
1994.3750,   3.4361
1994.6250,   3.6810
1994.8750,   3.7806
1995.1250,   3.3933
1995.3750,   3.8713
1995.6250,   3.7400
1995.8750,   3.8564
1996.1250,   3.8867
1996.3750,   4.3131
1996.6250,   4.2804
1996.8750,   4.4276
1997.1250,   4.3819
1997.3750,   4.1709
1997.6250,   4.1412
1997.8750,   3.9308
1998.1250,   4.2458
1998.3750,   4.2268
1998.6250,   3.8165
1998.8750,   3.9098
1999.1250,   3.9525
1999.3750,   3.6750
1999.6250,   4.1944
1999.8750,   3.9104
2000.1250,   3.8326
2000.3750,   4.0767
2000.6250,   4.4243
2000.8750,   4.0941
2001.1250,   4.1238
2001.3750,   4.5734
2001.6250,   4.1900
2001.8750,   4.4315
2002.1250,   4.5842
2002.3750,   4.7197
2002.6250,   4.4875
2002.8750,   5.2764
2003.1250,   4.8946
2003.3750,   5.2837
2003.6250,   5.3252
2003.8750,   4.7434
2004.1250,   4.5849
2004.3750,   4.7126
2004.6250,   4.7617
2004.8750,   4.7938
2005.1250,   4.6675
2005.3750,   4.9163
2005.6250,   5.0853
2005.8750,   4.4633
2006.1250,   4.5074
2006.3750,   4.0282
2006.6250,   4.7271
2006.8750,   4.4964
2007.1250,   3.9003
2007.3750,   4.4406
2007.6250,   4.6503
2007.8750,   4.1692
2008.1250,   3.9967
2008.3750,   4.1726
2008.6250,   4.0899
2008.8750,   3.6234
2009.1250,   3.7535
2009.3750,   3.5850
2009.6250,   3.8623
2009.8750,   3.4788
2010.1250,   2.9083
2010.3750,   2.8774
2010.6250,   2.6661
2010.8750,   2.6338
2011.1250,   2.5093
2011.3750,   2.5832
2011.6250,   2.3670
2011.8750,   2.4709
2012.1250,   2.6048
2012.3750,   2.8996
2012.6250,   3.1418
2012.8750,   2.9428
2013.1250,   3.2930
2013.3750,   3.0437
2013.6250,   3.1616
2013.8750,   2.9022
2014.1250,   2.7484
2014.3750,   2.8225
2014.6250,   2.3697
2014.8750,   2.5161
